,,,,,,,,,,
,,,,,,,,,,
,,Year,City,Industry,Qtr 1 Wages,Qtr 2 Wages,Qtr 3 Wages,Qtr 4 Wages,Total Annual Wages,Confidential
,,2006,Indio,"Arts, Entertainment, and Recreation",1761514,1878871,1978192,2139822,7758399,
,,2006,Indio,Accommodation and Food Services,4224700,4371260,5617822,4763744,18977526,
,,2006,Indio,Other Services (except Public Administration),3850602,4227968,4527352,4069211,16675133,
,,2006,Indio,Federal Government,*****,*****,*****,*****,*****,/1/
,,2006,Indio,State Government,*****,*****,*****,*****,*****,/1/
,,2006,Indio,Local Government,34671692,32033106,22482617,28409775,117597190,
,,2006,Indio,Not Elsewhere Classified,*****,*****,*****,*****,*****,/1/
,,2006,La Quinta,"Agriculture, Forestry, Fishing and Hunting",679160,286004,408956,667415,2041535,
,,2006,La Quinta,Construction,6556898,6424436,9795742,7458256,30235332,
,,2006,La Quinta,Manufacturing,115970,110694,476408,203523,906595,
,,2006,La Quinta,Wholesale Trade,800933,843278,294737,800155,2739103,
,,2006,La Quinta,Retail Trade,14621088,14233579,16344806,16632766,61832239,
,,2006,La Quinta,Transportation and Warehousing,110841,105478,93615,120197,430131,
,,2006,La Quinta,Information,*****,*****,*****,*****,*****,/1/
,,2006,La Quinta,Finance and Insurance,1340730,1222309,2087606,1219522,5870167,
,,2006,La Quinta,Real Estate and Rental and Leasing,837786,934034,1684569,1452773,4909162,
,,2006,La Quinta,"Professional, Scientific, and Technical Services",2668869,2636027,5684991,2874899,13864786,
,,2006,La Quinta,Management of Companies and Enterprises,*****,*****,*****,*****,*****,/1/
,,2006,La Quinta,Administrative and Support and Waste Management and Remediation Services,2258506,2151326,2307554,2253582,8970968,
,,2006,La Quinta,Educational Services,207447,202649,208534,233640,852270,
,,2006,La Quinta,Health Care and Social Assistance,1626101,1211496,2086243,1387139,6310979,
,,2006,La Quinta,"Arts, Entertainment, and Recreation",3544392,3381982,2350415,3664907,12941696,
,,2006,La Quinta,Accommodation and Food Services,23106564,25595925,20316922,25342988,94362399,
,,2006,La Quinta,Other Services (except Public Administration),1727071,1505825,1430511,1352027,6015434,
,,2006,La Quinta,Federal Government,*****,*****,*****,*****,*****,/1/
,,2006,La Quinta,Local Government,20479748,18864877,13987856,18319427,71651908,
,,2006,La Quinta,Not Elsewhere Classified,*****,*****,*****,*****,*****,/1/
,,2006,Palm Desert,"Agriculture, Forestry, Fishing and Hunting",*****,*****,*****,*****,*****,/1/
,,2006,Palm Desert,"Mining, Quarrying, and Oil and Gas Extraction",*****,*****,*****,*****,*****,/1/
,,2006,Palm Desert,Utilities,*****,*****,*****,*****,*****,/1/
,,2006,Palm Desert,Construction,29896304,44800991,41844780,31626797,148168872,
,,2006,Palm Desert,Manufacturing,2960737,3260944,4684908,4038480,14945069,
,,2006,Palm Desert,Wholesale Trade,3410077,3578408,5785375,4229799,17003659,
,,2006,Palm Desert,Retail Trade,28499999,27169339,32171176,31349401,119189915,
,,2006,Palm Desert,Transportation and Warehousing,1371831,1456701,1350542,1415242,5594316,
,,2006,Palm Desert,Information,8155998,7185584,9461603,7779378,32582563,
,,2006,Palm Desert,Finance and Insurance,11621244,10926637,17401771,11850435,51800087,
,,2006,Palm Desert,Real Estate and Rental and Leasing,4931917,4992402,7170825,5247845,22342989,
,,2006,Palm Desert,"Professional, Scientific, and Technical Services",19859503,15432505,18823811,20194179,74309998,
,,2006,Palm Desert,Management of Companies and Enterprises,*****,*****,*****,*****,*****,/1/
,,2006,Palm Desert,Administrative and Support and Waste Management and Remediation Services,10892858,11106096,21966757,15540276,59505987,
,,2006,Palm Desert,Educational Services,1112712,1059700,1031746,1052784,4256942,
,,2006,Palm Desert,Health Care and Social Assistance,44717654,41100992,46083999,43335971,175238616,
,,2006,Palm Desert,"Arts, Entertainment, and Recreation",12497041,12072234,10623815,12265914,47459004,
,,2006,Palm Desert,Accommodation and Food Services,27834588,26238834,26005864,24331968,104411254,
,,2006,Palm Desert,Other Services (except Public Administration),12091255,11902586,11885902,11572658,47452401,
,,2006,Palm Desert,Federal Government,*****,*****,*****,*****,*****,/1/
,,2006,Palm Desert,Local Government,19242969,16621312,12137511,16182072,64183864,
,,2006,Palm Springs,"Agriculture, Forestry, Fishing and Hunting",*****,*****,*****,*****,*****,/1/
,,2006,Palm Springs,"Mining, Quarrying, and Oil and Gas Extraction",*****,*****,*****,*****,*****,/1/
,,2006,Palm Springs,Utilities,*****,*****,*****,*****,*****,/1/
,,2006,Palm Springs,Construction,12953428,13293715,17556053,14154352,57957548,
